Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Type
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Conference,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Conference,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Entry,Book,Thing,Thing/Reference/Book/Monograph,Thing/Entry,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Article,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Inproceedings,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Inproceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,TechReport,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Book,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Phdthesis,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Phdthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Misc,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Unpublished,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Unpublished,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Booklet,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Booklet,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Mastersthesis,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Mastersthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Proceedings,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Manual,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Manual,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Incollection,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Incollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Inbook,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Inbook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Conference,Thing,Entry,Thing/Address,Thing/Entry/Conference,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Entry,Thing,Thing,Thing/Address,Thing/Entry,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Article,Thing,Entry,Thing/Address,Thing/Entry/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inproceedings,Thing,Entry,Thing/Address,Thing/Entry/Inproceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,TechReport,Thing,Entry,Thing/Address,Thing/Entry/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Book,Thing,Entry,Thing/Address,Thing/Entry/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Phdthesis,Thing,Entry,Thing/Address,Thing/Entry/Phdthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Misc,Thing,Entry,Thing/Address,Thing/Entry/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Unpublished,Thing,Entry,Thing/Address,Thing/Entry/Unpublished,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Booklet,Thing,Entry,Thing/Address,Thing/Entry/Booklet,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Mastersthesis,Thing,Entry,Thing/Address,Thing/Entry/Mastersthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Proceedings,Thing,Entry,Thing/Address,Thing/Entry/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Manual,Thing,Entry,Thing/Address,Thing/Entry/Manual,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Incollection,Thing,Entry,Thing/Address,Thing/Entry/Incollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inbook,Thing,Entry,Thing/Address,Thing/Entry/Inbook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Conference,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Conference,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Entry,Reference,Thing,Thing/Reference/Informal,Thing/Entry,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Article,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Inproceedings,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Inproceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,TechReport,Reference,Entry,Thing/Reference/Informal,Thing/Entry/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Book,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Phdthesis,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Phdthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Misc,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Unpublished,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Unpublished,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Booklet,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Booklet,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Mastersthesis,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Mastersthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Proceedings,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Manual,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Manual,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Incollection,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Incollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Informal,Inbook,Reference,Entry,Thing/Reference/Informal,Thing/Entry/Inbook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Conference,Reference,Entry,Thing/Reference/Report,Thing/Entry/Conference,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Entry,Reference,Thing,Thing/Reference/Report,Thing/Entry,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Article,Reference,Entry,Thing/Reference/Report,Thing/Entry/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Inproceedings,Reference,Entry,Thing/Reference/Report,Thing/Entry/Inproceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,TechReport,Reference,Entry,Thing/Reference/Report,Thing/Entry/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Book,Reference,Entry,Thing/Reference/Report,Thing/Entry/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Phdthesis,Reference,Entry,Thing/Reference/Report,Thing/Entry/Phdthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Misc,Reference,Entry,Thing/Reference/Report,Thing/Entry/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Unpublished,Reference,Entry,Thing/Reference/Report,Thing/Entry/Unpublished,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Booklet,Reference,Entry,Thing/Reference/Report,Thing/Entry/Booklet,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Mastersthesis,Reference,Entry,Thing/Reference/Report,Thing/Entry/Mastersthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Proceedings,Reference,Entry,Thing/Reference/Report,Thing/Entry/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Manual,Reference,Entry,Thing/Reference/Report,Thing/Entry/Manual,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Incollection,Reference,Entry,Thing/Reference/Report,Thing/Entry/Incollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Report,Inbook,Reference,Entry,Thing/Reference/Report,Thing/Entry/Inbook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Conference,Reference,Entry,Thing/Reference/Book,Thing/Entry/Conference,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Entry,Reference,Thing,Thing/Reference/Book,Thing/Entry,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Article,Reference,Entry,Thing/Reference/Book,Thing/Entry/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Inproceedings,Reference,Entry,Thing/Reference/Book,Thing/Entry/Inproceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,TechReport,Reference,Entry,Thing/Reference/Book,Thing/Entry/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Book,Reference,Entry,Thing/Reference/Book,Thing/Entry/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Phdthesis,Reference,Entry,Thing/Reference/Book,Thing/Entry/Phdthesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Book,Misc,Reference,Entry,Thing/Reference/Book,Thing/Entry/Misc,Class
